date,category,units_sold
2024-03-16,Electronics,286
2024-03-17,Electronics,293
2024-03-18,Electronics,264
2024-03-19,Electronics,249
2024-03-20,Electronics,225
2024-03-21,Electronics,260
2024-03-22,Electronics,263
2024-03-23,Electronics,291
2024-03-24,Electronics,270
2024-03-25,Electronics,245
2024-03-26,Electronics,238
2024-03-27,Electronics,242
2024-03-28,Electronics,265
2024-03-29,Electronics,268
2024-03-30,Electronics,289
2024-03-31,Electronics,287
2024-04-01,Electronics,253
2024-04-02,Electronics,242
2024-04-03,Electronics,240
2024-04-04,Electronics,231
2024-04-05,Electronics,239
2024-04-06,Electronics,308
2024-04-07,Electronics,286
2024-04-08,Electronics,232
2024-04-09,Electronics,230
2024-04-10,Electronics,223
2024-04-11,Electronics,241
2024-04-12,Electronics,240
2024-04-13,Electronics,247
2024-04-14,Electronics,275
2024-04-15,Electronics,223
2024-04-16,Electronics,253
2024-04-17,Electronics,233
2024-04-18,Electronics,255
2024-04-19,Electronics,222
2024-04-20,Electronics,259
2024-04-21,Electronics,266
2024-04-22,Electronics,242
2024-04-23,Electronics,234
2024-04-24,Electronics,206
2024-04-25,Electronics,226
2024-04-26,Electronics,223
2024-04-27,Electronics,251
2024-04-28,Electronics,246
2024-04-29,Electronics,246
2024-04-30,Electronics,214
2024-05-01,Electronics,206
2024-05-02,Electronics,227
2024-05-03,Electronics,219
2024-05-04,Electronics,250
2024-05-05,Electronics,262
2024-05-06,Electronics,222
2024-05-07,Electronics,219
2024-05-08,Electronics,227
2024-05-09,Electronics,216
2024-05-10,Electronics,202
2024-05-11,Electronics,240
2024-05-12,Electronics,237
2024-05-13,Electronics,212
2024-05-14,Electronics,192
2024-05-15,Electronics,180
2024-05-16,Electronics,208
2024-05-17,Electronics,186
2024-05-18,Electronics,212
2024-05-19,Electronics,247
2024-05-20,Electronics,196
2024-05-21,Electronics,215
2024-05-22,Electronics,199
2024-05-23,Electronics,191
2024-05-24,Electronics,189
2024-05-25,Electronics,235
2024-05-26,Electronics,239
2024-05-27,Electronics,196
2024-05-28,Electronics,204
2024-05-29,Electronics,186
2024-05-30,Electronics,209
2024-05-31,Electronics,182
2024-06-01,Electronics,241
2024-06-02,Electronics,255
2024-06-03,Electronics,226
2024-06-04,Electronics,235
2024-06-05,Electronics,187
2024-06-06,Electronics,222
2024-06-07,Electronics,228
2024-06-08,Electronics,260
2024-06-09,Electronics,232
2024-06-10,Electronics,217
2024-06-11,Electronics,239
2024-06-12,Electronics,189
2024-06-13,Electronics,219
2024-06-14,Electronics,228
2024-06-15,Electronics,236
2024-06-16,Electronics,256
2024-06-17,Electronics,196
2024-06-18,Electronics,200
2024-06-19,Electronics,200
2024-06-20,Electronics,216
2024-06-21,Electronics,212
2024-06-22,Electronics,263
2024-06-23,Electronics,234
2024-06-24,Electronics,212
2024-06-25,Electronics,228
2024-06-26,Electronics,222
2024-06-27,Electronics,194
2024-06-28,Electronics,224
2024-06-29,Electronics,242
2024-06-30,Electronics,256
2024-07-01,Electronics,219
2024-07-02,Electronics,233
2024-07-03,Electronics,217
2024-07-04,Electronics,188
2024-07-05,Electronics,195
2024-07-06,Electronics,262
2024-07-07,Electronics,247
2024-07-08,Electronics,233
2024-07-09,Electronics,221
2024-07-10,Electronics,205
2024-07-11,Electronics,233
2024-07-12,Electronics,205
2024-07-13,Electronics,221
2024-07-14,Electronics,283
2024-07-15,Electronics,189
2024-07-16,Electronics,227
2024-07-17,Electronics,232
2024-07-18,Electronics,220
2024-07-19,Electronics,193
2024-07-20,Electronics,269
2024-07-21,Electronics,232
2024-07-22,Electronics,199
2024-07-23,Electronics,214
2024-07-24,Electronics,231
2024-07-25,Electronics,224
2024-07-26,Electronics,232
2024-07-27,Electronics,248
2024-07-28,Electronics,253
2024-07-29,Electronics,203
2024-07-30,Electronics,216
2024-07-31,Electronics,230
2024-08-01,Electronics,216
2024-08-02,Electronics,228
2024-08-03,Electronics,248
2024-08-04,Electronics,248
2024-08-05,Electronics,222
2024-08-06,Electronics,219
2024-08-07,Electronics,231
2024-08-08,Electronics,225
2024-08-09,Electronics,249
2024-08-10,Electronics,254
2024-08-11,Electronics,254
2024-08-12,Electronics,207
2024-08-13,Electronics,224
2024-08-14,Electronics,234
2024-08-15,Electronics,212
2024-08-16,Electronics,223
2024-08-17,Electronics,270
2024-08-18,Electronics,257
2024-08-19,Electronics,217
2024-08-20,Electronics,239
2024-08-21,Electronics,226
2024-08-22,Electronics,231
2024-08-23,Electronics,243
2024-08-24,Electronics,278
2024-08-25,Electronics,255
2024-08-26,Electronics,218
2024-08-27,Electronics,230
2024-08-28,Electronics,224
2024-08-29,Electronics,198
2024-08-30,Electronics,246
2024-08-31,Electronics,262
2024-09-01,Electronics,273
2024-09-02,Electronics,209
2024-09-03,Electronics,247
2024-09-04,Electronics,219
2024-09-05,Electronics,226
2024-09-06,Electronics,207
2024-09-07,Electronics,261
2024-09-08,Electronics,260
2024-09-09,Electronics,226
2024-09-10,Electronics,235
2024-09-11,Electronics,230
2024-09-12,Electronics,244
2024-09-13,Electronics,222
2024-09-14,Electronics,249
2024-09-15,Electronics,264
2024-09-16,Electronics,239
2024-09-17,Electronics,249
2024-09-18,Electronics,242
2024-09-19,Electronics,204
2024-09-20,Electronics,236
2024-09-21,Electronics,288
2024-09-22,Electronics,267
2024-09-23,Electronics,223
2024-09-24,Electronics,236
2024-09-25,Electronics,224
2024-09-26,Electronics,241
2024-09-27,Electronics,232
2024-09-28,Electronics,288
2024-09-29,Electronics,275
2024-09-30,Electronics,222
2024-10-01,Electronics,242
2024-10-02,Electronics,247
2024-10-03,Electronics,224
2024-10-04,Electronics,227
2024-10-05,Electronics,234
2024-10-06,Electronics,282
2024-10-07,Electronics,226
2024-10-08,Electronics,204
2024-10-09,Electronics,210
2024-10-10,Electronics,235
2024-10-11,Electronics,251
2024-10-12,Electronics,274
2024-10-13,Electronics,284
2024-10-14,Electronics,226
2024-10-15,Electronics,224
2024-10-16,Electronics,259
2024-10-17,Electronics,254
2024-10-18,Electronics,247
2024-10-19,Electronics,303
2024-10-20,Electronics,271
2024-10-21,Electronics,245
2024-10-22,Electronics,268
2024-10-23,Electronics,281
2024-10-24,Electronics,255
2024-10-25,Electronics,281
2024-10-26,Electronics,283
2024-10-27,Electronics,299
2024-10-28,Electronics,257
2024-10-29,Electronics,237
2024-10-30,Electronics,266
2024-10-31,Electronics,278
2024-11-01,Electronics,263
2024-11-02,Electronics,300
2024-11-03,Electronics,323
2024-11-04,Electronics,250
2024-11-05,Electronics,247
2024-11-06,Electronics,261
2024-11-07,Electronics,254
2024-11-08,Electronics,293
2024-11-09,Electronics,314
2024-11-10,Electronics,298
2024-11-11,Electronics,268
2024-11-12,Electronics,321
2024-11-13,Electronics,270
2024-11-14,Electronics,269
2024-11-15,Electronics,286
2024-11-16,Electronics,327
2024-11-17,Electronics,322
2024-11-18,Electronics,271
2024-11-19,Electronics,269
2024-11-20,Electronics,296
2024-11-21,Electronics,288
2024-11-22,Electronics,265
2024-11-23,Electronics,343
2024-11-24,Electronics,338
2024-11-25,Electronics,289
2024-11-26,Electronics,290
2024-11-27,Electronics,298
2024-11-28,Electronics,286
2024-11-29,Electronics,277
2024-11-30,Electronics,338
2024-12-01,Electronics,313
2024-12-02,Electronics,306
2024-12-03,Electronics,280
2024-12-04,Electronics,301
2024-12-05,Electronics,301
2024-12-06,Electronics,331
2024-12-07,Electronics,324
2024-12-08,Electronics,320
2024-12-09,Electronics,297
2024-12-10,Electronics,291
2024-12-11,Electronics,300
2024-12-12,Electronics,316
2024-12-13,Electronics,322
2024-12-14,Electronics,372
2024-12-15,Electronics,336
2024-12-16,Electronics,353
2024-12-17,Electronics,344
2024-12-18,Electronics,312
2024-12-19,Electronics,282
2024-12-20,Electronics,315
2024-12-21,Electronics,354
2024-12-22,Electronics,319
2024-12-23,Electronics,320
2024-12-24,Electronics,317
2024-12-25,Electronics,309
2024-12-26,Electronics,331
2024-12-27,Electronics,337
2024-12-28,Electronics,350
2024-12-29,Electronics,362
2024-12-30,Electronics,314
2024-12-31,Electronics,313
2025-01-01,Electronics,326
2025-01-02,Electronics,333
2025-01-03,Electronics,317
2025-01-04,Electronics,328
2025-01-05,Electronics,371
2025-01-06,Electronics,304
2025-01-07,Electronics,330
2025-01-08,Electronics,355
2025-01-09,Electronics,329
2025-01-10,Electronics,312
2025-01-11,Electronics,343
2025-01-12,Electronics,383
2025-01-13,Electronics,331
2025-01-14,Electronics,340
2025-01-15,Electronics,346
2025-01-16,Electronics,332
2025-01-17,Electronics,328
2025-01-18,Electronics,354
2025-01-19,Electronics,322
2025-01-20,Electronics,311
2025-01-21,Electronics,333
2025-01-22,Electronics,332
2025-01-23,Electronics,340
2025-01-24,Electronics,333
2025-01-25,Electronics,372
2025-01-26,Electronics,382
2025-01-27,Electronics,322
2025-01-28,Electronics,331
2025-01-29,Electronics,311
2025-01-30,Electronics,350
2025-01-31,Electronics,336
2025-02-01,Electronics,378
2025-02-02,Electronics,394
2025-02-03,Electronics,352
2025-02-04,Electronics,335
2025-02-05,Electronics,348
2025-02-06,Electronics,315
2025-02-07,Electronics,343
2025-02-08,Electronics,373
2025-02-09,Electronics,347
2025-02-10,Electronics,356
2025-02-11,Electronics,325
2025-02-12,Electronics,346
2025-02-13,Electronics,329
2025-02-14,Electronics,351
2025-02-15,Electronics,390
2025-02-16,Electronics,358
2025-02-17,Electronics,312
2025-02-18,Electronics,333
2025-02-19,Electronics,347
2025-02-20,Electronics,329
2025-02-21,Electronics,325
2025-02-22,Electronics,376
2025-02-23,Electronics,327
2025-02-24,Electronics,323
2025-02-25,Electronics,312
2025-02-26,Electronics,337
2025-02-27,Electronics,321
2025-02-28,Electronics,315
2025-03-01,Electronics,361
2025-03-02,Electronics,344
2025-03-03,Electronics,331
2025-03-04,Electronics,320
2025-03-05,Electronics,324
2025-03-06,Electronics,319
2025-03-07,Electronics,343
2025-03-08,Electronics,362
2025-03-09,Electronics,371
2025-03-10,Electronics,335
2025-03-11,Electronics,315
2025-03-12,Electronics,335
2025-03-13,Electronics,331
2025-03-14,Electronics,330
2025-03-15,Electronics,354
2025-03-16,Electronics,353
2025-03-17,Electronics,336
2025-03-18,Electronics,356
2025-03-19,Electronics,310
2025-03-20,Electronics,330
2025-03-21,Electronics,316
2025-03-22,Electronics,368
2025-03-23,Electronics,362
2025-03-24,Electronics,336
2025-03-25,Electronics,277
2025-03-26,Electronics,309
2025-03-27,Electronics,303
2025-03-28,Electronics,315
2025-03-29,Electronics,340
2025-03-30,Electronics,341
2025-03-31,Electronics,325
2025-04-01,Electronics,343
2025-04-02,Electronics,271
2025-04-03,Electronics,308
2025-04-04,Electronics,316
2025-04-05,Electronics,346
2025-04-06,Electronics,340
2025-04-07,Electronics,289
2025-04-08,Electronics,295
2025-04-09,Electronics,319
2025-04-10,Electronics,323
2025-04-11,Electronics,308
2025-04-12,Electronics,328
2025-04-13,Electronics,341
2025-04-14,Electronics,300
2025-04-15,Electronics,311
2025-04-16,Electronics,304
2025-04-17,Electronics,292
2025-04-18,Electronics,303
2025-04-19,Electronics,317
2025-04-20,Electronics,346
2025-04-21,Electronics,316
2025-04-22,Electronics,280
2025-04-23,Electronics,303
2025-04-24,Electronics,281
2025-04-25,Electronics,311
2025-04-26,Electronics,342
2025-04-27,Electronics,325
2025-04-28,Electronics,307
2025-04-29,Electronics,285
2025-04-30,Electronics,281
2025-05-01,Electronics,281
2025-05-02,Electronics,287
2025-05-03,Electronics,318
2025-05-04,Electronics,325
2025-05-05,Electronics,277
2025-05-06,Electronics,297
2025-05-07,Electronics,300
2025-05-08,Electronics,276
2025-05-09,Electronics,262
2025-05-10,Electronics,328
2025-05-11,Electronics,334
2025-05-12,Electronics,278
2025-05-13,Electronics,261
2025-05-14,Electronics,283
2025-05-15,Electronics,301
2025-05-16,Electronics,249
2025-05-17,Electronics,319
2025-05-18,Electronics,307
2025-05-19,Electronics,264
2025-05-20,Electronics,284
2025-05-21,Electronics,258
2025-05-22,Electronics,282
2025-05-23,Electronics,297
2025-05-24,Electronics,315
2025-05-25,Electronics,300
2025-05-26,Electronics,251
2025-05-27,Electronics,259
2025-05-28,Electronics,251
2025-05-29,Electronics,303
2025-05-30,Electronics,275
2025-05-31,Electronics,298
2025-06-01,Electronics,295
2025-06-02,Electronics,263
2025-06-03,Electronics,275
2025-06-04,Electronics,261
2025-06-05,Electronics,305
2025-06-06,Electronics,269
2025-06-07,Electronics,304
2025-06-08,Electronics,320
2025-06-09,Electronics,303
2025-06-10,Electronics,301
2025-06-11,Electronics,274
2025-06-12,Electronics,285
2025-06-13,Electronics,284
2025-06-14,Electronics,325
2025-06-15,Electronics,321
2025-06-16,Electronics,268
2025-06-17,Electronics,263
2025-06-18,Electronics,285
2025-06-19,Electronics,265
2025-06-20,Electronics,303
2025-06-21,Electronics,319
2025-06-22,Electronics,303
2025-06-23,Electronics,279
2025-06-24,Electronics,276
2025-06-25,Electronics,282
2025-06-26,Electronics,298
2025-06-27,Electronics,263
2025-06-28,Electronics,291
2025-06-29,Electronics,325
2025-06-30,Electronics,282
2025-07-01,Electronics,287
2025-07-02,Electronics,292
2025-07-03,Electronics,283
2025-07-04,Electronics,298
2025-07-05,Electronics,307
2025-07-06,Electronics,322
2025-07-07,Electronics,274
2025-07-08,Electronics,269
2025-07-09,Electronics,296
2025-07-10,Electronics,295
2025-07-11,Electronics,258
2025-07-12,Electronics,305
2025-07-13,Electronics,327
2025-07-14,Electronics,304
2025-07-15,Electronics,278
2025-07-16,Electronics,285
2025-07-17,Electronics,267
2025-07-18,Electronics,326
2025-07-19,Electronics,331
2025-07-20,Electronics,337
2025-07-21,Electronics,299
2025-07-22,Electronics,303
2025-07-23,Electronics,298
2025-07-24,Electronics,284
2025-07-25,Electronics,301
2025-07-26,Electronics,326
2025-07-27,Electronics,344
2025-07-28,Electronics,279
2025-07-29,Electronics,282
2025-07-30,Electronics,301
2025-07-31,Electronics,310
2025-08-01,Electronics,293
2025-08-02,Electronics,316
2025-08-03,Electronics,325
2025-08-04,Electronics,284
2025-08-05,Electronics,320
2025-08-06,Electronics,305
2025-08-07,Electronics,311
2025-08-08,Electronics,297
2025-08-09,Electronics,319
2025-08-10,Electronics,345
2025-08-11,Electronics,318
2025-08-12,Electronics,302
2025-08-13,Electronics,293
2025-08-14,Electronics,310
2025-08-15,Electronics,288
2025-08-16,Electronics,340
2025-08-17,Electronics,318
2025-08-18,Electronics,280
2025-08-19,Electronics,303
2025-08-20,Electronics,300
2025-08-21,Electronics,323
2025-08-22,Electronics,291
2025-08-23,Electronics,331
2025-08-24,Electronics,313
2025-08-25,Electronics,268
2025-08-26,Electronics,269
2025-08-27,Electronics,303
2025-08-28,Electronics,279
2025-08-29,Electronics,313
2025-08-30,Electronics,353
2025-08-31,Electronics,327
2025-09-01,Electronics,322
2025-09-02,Electronics,301
2025-09-03,Electronics,314
2025-09-04,Electronics,294
2025-09-05,Electronics,312
2025-09-06,Electronics,319
2025-09-07,Electronics,342
2025-09-08,Electronics,291
2025-09-09,Electronics,297
2025-09-10,Electronics,308
2025-09-11,Electronics,301
2025-09-12,Electronics,298
2025-09-13,Electronics,345
2025-09-14,Electronics,346
2025-09-15,Electronics,279
2025-09-16,Electronics,308
2025-09-17,Electronics,310
2025-09-18,Electronics,289
2025-09-19,Electronics,306
2025-09-20,Electronics,316
2025-09-21,Electronics,357
2025-09-22,Electronics,297
2025-09-23,Electronics,300
2025-09-24,Electronics,319
2025-09-25,Electronics,299
2025-09-26,Electronics,311
2025-09-27,Electronics,321
2025-09-28,Electronics,329
2025-09-29,Electronics,281
2025-09-30,Electronics,299
2025-10-01,Electronics,318
2025-10-02,Electronics,306
2025-10-03,Electronics,316
2025-10-04,Electronics,323
2025-10-05,Electronics,325
2025-10-06,Electronics,297
2025-10-07,Electronics,312
2025-10-08,Electronics,310
2025-10-09,Electronics,306
2025-10-10,Electronics,316
2025-10-11,Electronics,341
2025-10-12,Electronics,344
2025-10-13,Electronics,330
2025-10-14,Electronics,303
2025-10-15,Electronics,316
2025-10-16,Electronics,338
2025-10-17,Electronics,317
2025-10-18,Electronics,362
2025-10-19,Electronics,344
2025-10-20,Electronics,349
2025-10-21,Electronics,287
2025-10-22,Electronics,305
2025-10-23,Electronics,307
2025-10-24,Electronics,348
2025-10-25,Electronics,366
2025-10-26,Electronics,358
2025-10-27,Electronics,308
2025-10-28,Electronics,334
2025-10-29,Electronics,332
2025-10-30,Electronics,321
2025-10-31,Electronics,310
2025-11-01,Electronics,352
2025-11-02,Electronics,373
2025-11-03,Electronics,341
2025-11-04,Electronics,339
2025-11-05,Electronics,336
2025-11-06,Electronics,313
2025-11-07,Electronics,342
2025-11-08,Electronics,362
2025-11-09,Electronics,379
2025-11-10,Electronics,352
2025-11-11,Electronics,336
2025-11-12,Electronics,332
2025-11-13,Electronics,363
2025-11-14,Electronics,355
2025-11-15,Electronics,376
2025-11-16,Electronics,342
2025-11-17,Electronics,352
2025-11-18,Electronics,364
2025-11-19,Electronics,372
2025-11-20,Electronics,346
2025-11-21,Electronics,348
2025-11-22,Electronics,387
2025-11-23,Electronics,407
2025-11-24,Electronics,343
2025-11-25,Electronics,360
2025-11-26,Electronics,349
2025-11-27,Electronics,368
2025-11-28,Electronics,342
2025-11-29,Electronics,407
2025-11-30,Electronics,395
2025-12-01,Electronics,365
2025-12-02,Electronics,377
2025-12-03,Electronics,388
2025-12-04,Electronics,346
2025-12-05,Electronics,388
2025-12-06,Electronics,417
2025-12-07,Electronics,405
2025-12-08,Electronics,397
2025-12-09,Electronics,379
2025-12-10,Electronics,397
2025-12-11,Electronics,369
2025-12-12,Electronics,366
2025-12-13,Electronics,434
2025-12-14,Electronics,449
2025-12-15,Electronics,391
2025-12-16,Electronics,396
2025-12-17,Electronics,377
2025-12-18,Electronics,365
2025-12-19,Electronics,382
2025-12-20,Electronics,444
2025-12-21,Electronics,394
2025-12-22,Electronics,380
2025-12-23,Electronics,360
2025-12-24,Electronics,391
2025-12-25,Electronics,403
2025-12-26,Electronics,372
2025-12-27,Electronics,420
2025-12-28,Electronics,447
2025-12-29,Electronics,392
2025-12-30,Electronics,375
